||Comment||Description||Designator||Footprint||LibRef||Part No.||Quantity||Price Est.||Vendor||
||Capacitor||||C1, C2, C3, C4, C5, C6, C7, C8||0603 (1608) RECT||Capacitor||GRM188xxxxxxxxx||8||$0.10||Mouser||
||USB Mini-B||USB Mini-B||J1||USB MINI-B (PCB TAB)||USB Mini-B||54819-0572||1||$1.56||Mouser||
||Xbee||Header, 4-Pin||P1||HDR1X4||Header 4||||1||||||
||Sonar||Header, 4-Pin||P2||HDR1X4||Header 4||||1||||||
||Program||Header, 4-Pin||P3||HDR1X4||Header 4||||1||||||
||Header 8||Header, 8-Pin||P4, P5||HDR1X8||Header 8||||2||||||
||Header 3||Header, 3-Pin||P6, P7, P8, P9, P10, P11, P12, P13||HDR1X3||Header 3||||8||||||
||rs422||Header, 2-Pin||P14||HC_PAD 2 PIN||Header 2||||1||||||
||Resistor||Resistor||R1, R2, R3, R4||0603 (1608) BRACKET||Resistor||CRCW06031K00xxxxxxxxxx||4||$0.06||Mouser||
||TPS71550||||U1||SOT23-5||TPS71550||296-12008-1-ND||1||1.29||Digikey||
||TPS71533||||U2||SOT23-5||TPS71533||296-12008-1-ND||1||1.29||Digikey||
||ATXMEGAA3||||U3||QFN-64||ATXMEGAA3||ATXMEGA128A3||1||$8.06||Mouser||
||CP2102||||U4||QFN28 5x5 SILABS||CP2102||CP2102||1||$3.66||Mouser||
||TXB0108||||U5||TSSOP-20||TXB0108||TXB0108||1||2.76||Mouser||
||ISL83072E||||U6||MSOP-8||ISL83072E||ISL83072EIUZA-T||1||4.23||Digikey||
