roll, pitch, yaw, x accel, y accel, z accel
6142, -6372, 1815, 1122, 582, 517
6542, -6044, 1905, 1218, 658, 624
7089, -5648, 1689, 1277, 694, 598
7651, -5487, 1910, 1304, 794, 601
7925, -5297, 1840, 1391, 798, 620
8222, -4874, 1793, 1377, 820, 539
8281, -4704, 1627, 1432, 801, 625
8276, -4630, 1737, 1410, 833, 584
8272, -4635, 1775, 1508, 873, 649
8272, -4378, 1812, 1477, 887, 606
8268, -4236, 1749, 1433, 900, 674
8265, -4011, 1836, 1410, 888, 687
8262, -3914, 1830, 1353, 869, 657
8263, -3710, 1691, 1345, 886, 697
8258, -3698, 1688, 1320, 889, 717
8255, -3541, 1723, 1324, 890, 749
8252, -3394, 1636, 1384, 932, 879
8251, -3400, 1689, 1398, 996, 746
8247, -3154, 1798, 1545, 1006, 685
8245, -3359, 1549, 1621, 1045, 623
8244, -3230, 1644, 1694, 1090, 588
8241, -3301, 1785, 1700, 1133, 545
8239, -3298, 1589, 1707, 1161, 556
8237, -3211, 1720, 1671, 1151, 499
8233, -3126, 1727, 1670, 1183, 495
8228, -3149, 1805, 1592, 1157, 549
8225, -2919, 1650, 1561, 1106, 590
8224, -2672, 1826, 1454, 1108, 620
8219, -2446, 1633, 1380, 1032, 666
8219, -2362, 1546, 1315, 1002, 518
8218, -2048, 1513, 1371, 1009, 532
8219, -1951, 1312, 1326, 967, 515
8218, -1841, 1123, 1296, 934, 448
8219, -1699, 1177, 1342, 888, 378
8219, -1630, 1251, 1319, 915, 312
8221, -1404, 1141, 1253, 902, 267
8219, -804, 1301, 1294, 1090, 311
8222, -34, 1396, 1125, 943, 136
8219, 459, 912, 1086, 952, -123
8222, 246, 663, 1103, 690, -128
8220, 39, 369, 1248, 796, -78
8217, -25, 218, 1289, 877, -197
8216, -129, 493, 1326, 946, -212
8214, -539, 317, 1254, 1008, -234
8213, -463, 168, 1217, 993, -157
8213, -679, 272, 1213, 927, -120
8213, -475, 341, 1245, 902, -42
8212, -662, 337, 1198, 890, -120
8213, -169, 332, 1182, 892, -80
8211, -384, 422, 1124, 859, -132
8212, -411, 492, 1079, 878, -89
8211, -434, 557, 1022, 870, -74
8211, -516, 655, 951, 938, 23
8211, -514, 537, 882, 958, 96
8212, -506, 538, 823, 1018, 134
8210, -727, 420, 748, 978, 130
8210, -746, 400, 694, 991, 134
8212, -818, 348, 708, 1013, 165
8210, -813, 147, 605, 979, 165
8211, -986, 1, 596, 1003, 150
8213, -919, -163, 515, 973, 190
8212, -739, -207, 413, 978, 196
8213, -735, -248, 368, 975, 190
8211, -567, -259, 272, 960, 177
8211, -375, -162, 221, 968, 200
8213, -248, 56, 236, 885, 60
8215, -317, -63, 195, 742, 6
8213, -419, -5, 396, 1007, 312
8217, -15, 298, 23, 856, -233
8211, 264, 257, -233, 878, 306
8205, 1025, -414, 17, 898, 160
8201, 2106, -942, 64, 891, 117
8199, 2909, -1226, 101, 830, -91
8198, 3451, -1609, 230, 733, -119
8196, 4035, -1377, 287, 639, -191
8196, 4548, -1119, 291, 590, -235
8196, 4831, -853, 259, 585, -160
8196, 5023, -534, 204, 574, -152
8197, 5318, -262, 196, 586, -176
8199, 5116, -16, 177, 599, -214
8200, 5347, 7, 168, 583, -229
8201, 5325, 96, 180, 531, -257
8202, 5466, 171, 192, 538, -224
8205, 5857, 140, 225, 499, -222
8205, 5965, 88, 237, 451, -174
8209, 6243, -22, 285, 462, -212
8212, 6397, -168, 319, 443, -132
8214, 6505, -138, 311, 477, -143
8214, 6505, -288, 364, 464, -163
8218, 6602, -304, 414, 534, -167
8220, 6773, -237, 421, 640, -116
8221, 6708, -222, 526, 680, -157
8224, 6427, 47, 586, 764, -161
8225, 6365, 397, 638, 825, -122
8225, 6076, 848, 670, 921, 23
8227, 5922, 1273, 647, 962, 152
8227, 5892, 1563, 599, 969, 342
8230, 6256, 1744, 551, 971, 492
8230, 6359, 2043, 487, 958, 530
8231, 6584, 2156, 429, 1002, 605
8235, 6781, 2177, 331, 993, 690
8237, 7278, 2148, 205, 950, 720
8240, 7389, 2127, 37, 885, 749
8243, 7392, 2160, -136, 818, 746
8245, 7388, 2143, -265, 742, 699
8249, 7386, 2133, -352, 688, 603
8253, 7382, 2351, -393, 651, 556
8253, 7382, 2608, -406, 639, 485
8256, 7380, 2775, -417, 608, 433
8258, 7378, 3031, -414, 559, 413
8260, 7377, 3035, -447, 542, 405
8262, 7375, 3083, -505, 497, 389
8264, 7374, 3271, -584, 449, 402
8263, 7371, 3265, -667, 427, 368
8266, 7370, 3104, -715, 439, 366
8268, 7370, 2832, -743, 410, 320
8269, 7368, 2655, -779, 389, 334
8268, 7367, 2554, -791, 389, 397
8269, 7365, 2521, -821, 376, 400
8269, 7363, 2274, -827, 343, 418
8271, 7361, 2184, -825, 363, 469
8271, 7358, 2005, -807, 357, 484
8271, 7360, 1822, -813, 380, 500
8274, 7358, 1594, -786, 412, 555
8272, 7358, 1630, -714, 402, 571
8275, 7355, 1407, -653, 377, 567
8280, 7355, 1520, -655, 370, 579
8266, 7355, 1331, -642, 364, 571
7838, 7356, 1305, -608, 336, 560
7373, 7354, 1101, -553, 327, 538
6715, 7355, 1114, -526, 307, 511
6349, 7357, 994, -508, 241, 474
5730, 7354, 934, -503, 210, 496
4873, 7355, 897, -548, 145, 425
4126, 7356, 927, -553, 77, 296
3463, 7356, 752, -581, 25, 296
3052, 7356, 879, -595, -12, 369
2680, 7355, 514, -597, -94, 213
1911, 7355, 706, -642, -194, 133
1191, 7359, 541, -642, -275, 45
421, 7360, 293, -716, -394, -31
-25, 7361, 472, -730, -472, -10
-762, 7362, 533, -771, -513, -44
-930, 7361, 625, -785, -522, -88
-1365, 7360, 858, -755, -519, -192
-1757, 7359, 963, -746, -522, -244
-2227, 7361, 1334, -735, -534, -264
-2377, 7360, 1424, -671, -532, -289
-2590, 7361, 1902, -640, -519, -334
-3000, 7361, 2231, -577, -534, -348
-3137, 7361, 2781, -535, -490, -355
-3251, 7363, 3087, -477, -407, -359
-3123, 7360, 3572, -414, -341, -409
-3163, 7362, 4277, -433, -307, -270
-3094, 7361, 4651, -443, -243, -246
-3083, 7363, 5243, -434, -202, -220
-3152, 7364, 5887, -637, -139, -147
-3238, 7366, 6089, -746, -97, -73
-3806, 7368, 6290, -774, -67, -61
-3811, 7368, 6379, -864, 14, 24
-4168, 7370, 6176, -1038, 116, 108
-4705, 7371, 5856, -1118, 229, 179
-4869, 7370, 5278, -1134, 415, 293
-5195, 7371, 4460, -1065, 581, 359
-5281, 7373, 4031, -978, 664, 542
-5466, 7373, 3380, -889, 673, 677
-5568, 7372, 2810, -783, 680, 764
-5898, 7372, 2186, -686, 625, 748
-5990, 7371, 1626, -589, 562, 735
-6286, 7372, 855, -498, 506, 701
-6639, 7375, 843, -394, 440, 656
-7093, 7375, 520, -318, 370, 601
-7601, 7375, 309, -241, 295, 561
-8218, 7379, -88, -138, 229, 543
-8881, 7382, 38, -122, 133, 575
-9624, 7386, -49, -128, 31, 545
-9936, 7387, 84, -264, -30, 576
-10296, 7392, -41, -152, -106, 488
-10551, 7391, 119, -127, -210, 378
-10681, 7256, 217, -129, -302, 293
-11025, 6479, 375, -172, -410, 159
-11423, 6177, 413, -218, -500, 50
-12064, 5898, 609, -272, -541, -116
-12776, 5782, 758, -264, -512, 9
-13202, 5780, 829, -295, -559, -179
-13527, 5787, 740, -311, -636, -430
-13929, 5536, 941, -238, -770, -495
-14179, 5626, 955, -217, -809, -511
-14457, 5308, 1197, -240, -895, -511
-14955, 4961, 1102, -274, -933, -463
-15194, 5266, 1270, -333, -937, -545
-15905, 5102, 1330, -361, -933, -616
-16126, 4971, 1655, -431, -954, -736
-16159, 4914, 1996, -501, -993, -798
-16417, 4308, 2213, -563, -1056, -788
-16196, 4159, 2463, -623, -1120, -816
-15858, 3627, 2975, -733, -1171, -804
-15511, 3022, 2992, -798, -1169, -755
-14746, 3006, 3182, -917, -1189, -699
-14202, 2569, 3493, -994, -1139, -555
-13181, 2351, 3242, -1076, -1084, -441
-12153, 2196, 3187, -1107, -1043, -349
-10767, 2274, 2903, -1138, -992, -280
-9595, 1959, 2579, -1105, -927, -168
-7843, 2342, 2384, -1087, -908, -117
-6650, 2303, 2049, -1048, -948, -31
-5098, 2413, 1846, -996, -967, 49
-3887, 2486, 1253, -914, -941, 97
-2639, 2364, 820, -808, -936, 165
-1508, 2438, 325, -674, -917, 181
-167, 2497, -109, -571, -874, 226
932, 2480, -425, -472, -818, 251
1937, 2684, -755, -338, -789, 209
2641, 2507, -1284, -238, -738, 236
3170, 2299, -1269, -161, -667, 256
3608, 2266, -1303, -120, -629, 295
3838, 2078, -1412, -5, -511, 349
3781, 1857, -1732, 139, -395, 445
3624, 1447, -1660, 313, -317, 482
3393, 1276, -1851, 404, -257, 479
3221, 1010, -1849, 470, -248, 451
2949, 968, -1644, 525, -257, 499
2693, 776, -1878, 553, -271, 547
2235, 515, -1680, 569, -301, 589
1659, 807, -1458, 563, -309, 518
1134, 341, -1479, 573, -350, 427
195, 322, -1159, 493, -380, 322
-690, -131, -969, 462, -418, 221
-1574, -343, -827, 417, -480, 159
-2401, -656, -456, 382, -540, 85
-3442, -507, -112, 343, -580, 48
-4672, -622, 344, 303, -631, 13
-5576, -630, 610, 266, -686, -8
-6694, -435, 877, 217, -741, -42
-7582, -411, 1110, 175, -754, -85
-8485, -253, 1201, 95, -745, -138
-9155, -366, 1534, 49, -735, -152
-9904, -619, 1887, 30, -729, -187
-10263, -808, 2114, -32, -735, -177
-10651, -1090, 2481, -62, -738, -218
-11150, -1284, 2664, -74, -709, -230
-11238, -1576, 2749, -105, -714, -224
-11272, -1836, 3203, -160, -695, -216
-11251, -2139, 3361, -216, -719, -165
-11147, -2222, 3344, -249, -754, -91
-11220, -2266, 3679, -278, -771, -39
-11162, -2569, 3888, -281, -816, -19
-11097, -2454, 3711, -295, -820, -54
-11028, -2607, 3693, -258, -782, -27
-10890, -2703, 3572, -229, -771, -88
-10483, -2666, 3500, -178, -752, -88
-10412, -2596, 3412, -154, -736, -139
-10126, -2636, 3197, -126, -721, -52
-9713, -2609, 3006, -113, -733, -109
-9380, -2792, 2892, -94, -727, -98
-8795, -2728, 2743, -60, -715, -83
-8366, -2729, 2389, -50, -699, -46
-7860, -2758, 2182, -11, -686, -62
-7397, -2481, 1983, 59, -662, -24
-6778, -2684, 1681, 100, -629, -9
-6230, -2590, 1244, 150, -579, 31
-5737, -2484, 1031, 194, -516, 47
-5287, -2866, 621, 244, -492, 49
-4961, -2679, 348, 315, -460, 98
-4656, -2678, 67, 357, -454, 102
-4370, -2754, -169, 414, -422, 147
-4136, -2837, -355, 455, -401, 138
-3856, -2934, -738, 509, -380, 161
-3949, -2893, -822, 555, -384, 163
-3889, -2744, -1016, 567, -364, 216
-4141, -2697, -923, 589, -359, 281
-4718, -2571, -1157, 570, -343, 255
-4893, -2424, -1126, 568, -444, 224
-5314, -2484, -718, 646, -453, 280
-5764, -2514, -307, 661, -393, 355
-6441, -2949, 444, 614, -387, 252
-7115, -2776, 576, 372, -361, 166
-7742, -2844, 690, 356, -352, 104
-8545, -2938, 852, 288, -371, 31
-9086, -3088, 1124, 308, -413, 43
-9410, -2991, 1215, 361, -526, 45
-9906, -3248, 1630, 279, -426, -5
-10270, -3154, 1618, 229, -557, -14
-10585, -3159, 2000, 189, -546, -19
-10710, -3007, 1751, 112, -559, -64
-10850, -3326, 1552, 57, -580, -96
-10982, -3368, 1516, 62, -574, -26
-10965, -3468, 1571, 46, -565, -84
-10775, -3386, 1444, 19, -596, 8
-10328, -3433, 1616, -5, -635, 10
-10265, -3493, 1615, -63, -644, 17
-10138, -3567, 1387, -101, -628, 60
-9619, -3587, 1411, -54, -636, 150
-9561, -3725, 1355, -2, -628, 187
-8974, -3528, 887, -31, -572, 202
-8309, -3580, 984, -29, -500, 239
-7909, -3778, 661, 21, -482, 228
-7217, -3752, 515, 39, -474, 254
-6729, -3759, 540, 30, -477, 271
-5993, -3845, 395, 5, -501, 284
-5301, -3744, 406, -43, -556, 314
-4644, -3792, 205, -27, -584, 348
-3928, -3658, 156, -50, -589, 380
-3331, -3301, 63, -26, -604, 388
-2483, -3221, -175, 10, -599, 384
-1894, -3048, -277, 64, -575, 369
-1006, -3178, -491, 47, -552, 281
-341, -2948, -547, 123, -547, 349
318, -2891, -843, 109, -531, 303
775, -2798, -1094, 194, -552, 310
1628, -2726, -1361, 215, -530, 212
2233, -2808, -1516, 291, -522, 229
2713, -2575, -1731, 392, -540, 252
3371, -2359, -2038, 444, -500, 221
3662, -2284, -2004, 495, -498, 210
4087, -2219, -2081, 574, -496, 214
4548, -2065, -2007, 617, -491, 125
4665, -1912, -1954, 663, -497, 119
4865, -1856, -1816, 698, -506, 57
5051, -1865, -1588, 734, -518, 85
5415, -1668, -1342, 714, -507, 53
5426, -1651, -1271, 702, -479, 46
5451, -1497, -1054, 710, -464, 41
5552, -1456, -877, 731, -433, 24
5512, -1140, -594, 749, -392, 32
5751, -1071, -313, 786, -380, 54
5853, -790, -154, 821, -375, 84
5895, -643, 134, 859, -363, 108
5814, -404, 387, 854, -311, 111
5846, -459, 728, 866, -313, 155
5955, -389, 911, 866, -255, 138
6028, -707, 1099, 866, -305, 181
6043, -891, 1563, 854, -251, 163
5978, -1037, 1776, 817, -226, 150
5855, -1076, 2044, 846, -274, 263
5926, -1471, 2347, 693, -277, 156
6216, -1616, 2803, 599, -346, 282
6308, -1739, 2784, 468, -407, 222
6498, -1769, 2726, 436, -357, 305
6803, -1825, 2968, 401, -393, 235
7163, -1912, 2915, 419, -375, 276
7634, -1891, 2711, 438, -344, 227
8169, -2087, 2652, 483, -336, 140
8264, -2183, 2475, 535, -340, 240
8278, -2601, 2654, 598, -356, 0
8275, -2832, 2277, 572, -331, 239
8273, -2824, 2651, 807, -247, 485
